Respondent ID,Start Date,End Date,"Overall, how satisfied are you with your most recent trip ?",How likely are you to ride again?,How likely is it that you would recommend  this service to a friend or colleague? (NPS),Did your bus depart {{ custom.O }} origin on time?,Did your bus reach your final destination on time?,Where did you purchase your ticket?,"Overall, how would you rate your {{ custom.O }} origin stop/terminal experience?",Employee Communication/Customer Service,Terminal Safety,Seating/Boarding Area Cleanliness,Terminal Restrooms,Boarding Process,"Overall, how would you rate your experience on the bus",Driver Safety,Driver Attitude,Personal Safety,Bus Seating Area Cleanliness,Bus Restroom Cleanliness,Were you aware your bus had On Board Entertainment and WiFi,Did you utilize the On Board Entertainment or Wi-Fi features while riding the bus?,What was your reason for traveling?,What is your most commonly used mode of transportation for trips greater than 2 hours,How would you rate the value of your trip for the money spent?,Origin,Destination
12091203802,10/19/2020 23:42,10/19/2020 23:44,1,1,1,No,Yes,Website,3,3,3,Very Dissatisfied,Very Dissatisfied,3,2,,,,,,,,,,,PADUCAH | KY,LOUISVILLE | KY
12091199232,10/19/2020 23:39,10/19/2020 23:42,3,5,2,Yes,No,Website,3,3,3,3,3,2,3,3,3,3,3,3,Yes,No,Visiting Friends or Family (Just for Fun),Bus,Good Value for the Money,LOS ANGELES | CA,BAKERSFIELD | CA
12091140549,10/19/2020 22:59,10/19/2020 23:14,0,0,0,Yes,Yes,Website,Excellent,Very Dissatisfied,Very Satisfied,Very Satisfied,,Very Satisfied,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,,Yes,Yes,Visiting Friends or Family (Just for Fun),Train,Average Value for the Money,,
12091132706,10/19/2020 22:54,10/19/2020 22:58,0,0,0,Yes,,Website,,,,,,,,,,,,,,,,,Very Poor Value for the Money,TOMAH | WI,BIRMINGHAM | AL
12091130690,10/19/2020 22:52,10/19/2020 22:57,5,6,5,Yes,Yes,Website,3,4,4,Very Dissatisfied,N/A,4,4,4,4,4,2,4,Yes,No,Family/Personal Emergency,Personal Automobile,Good Value for the Money,SAN ANTONIO | TX,GENERAL ESCOBEDO | MX
12091032935,10/19/2020 21:54,10/19/2020 21:57,10,10,7,No,No,Website,3,2,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,4,3,No,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Average Value for the Money,LODI | CA,SACRAMENTO | CA
12091020718,10/19/2020 21:46,10/19/2020 22:00,1,0,0,No,No,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,N/A,Very Dissatisfied,Very Poor,Very Dissatisfied,Very Satisfied,3,Very DIssatisfied,Very Dissatisfied,No,No,Family/Personal Emergency,Personal Automobile,Very Poor Value for the Money,,
12091020297,10/19/2020 21:47,10/19/2020 21:50,2,0,1,Yes,Yes,Website,2,2,2,2,Very Dissatisfied,3,Very Poor,Very Satisfied,Very Satisfied,Very Satisfied,2,Very Dissatisfied,Yes,No,Business (Not commuting),Personal Automobile,Very Poor Value for the Money,ALEXANDRIA | LA,DOTHAN | AL
12090970617,10/19/2020 21:16,10/19/2020 21:36,5,5,5,Yes,Yes,Website,3,4,3,3,3,3,3,Very Satisfied,4,4,4,4,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Poor Value for the Money,PHOENIX | AZ,WICHITA | KS
12090953485,10/19/2020 21:07,10/19/2020 21:18,10,10,8,No,Yes,Mobile App,4,N/A,N/A,N/A,N/A,4,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3,Yes,No,Business (Not commuting),Train,Average Value for the Money,BELLOWS FALLS | VT,NEW YORK | NY
12090911201,10/19/2020 20:44,10/19/2020 20:54,10,10,10,Yes,Yes,Mobile App,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,Yes,Vacation (Non family visit),Bus,Good Value for the Money,HOUSTON | TX,PORT ARTHUR | TX
12090901131,10/19/2020 20:39,10/19/2020 20:43,2,3,2,Yes,No,Mobile App,Very Poor,Very Dissatisfied,Very Dissatisfied,3,4,3,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,3,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Very Poor Value for the Money,BECKLEY | WV,
12090842665,10/19/2020 20:09,10/19/2020 20:29,10,10,10,Yes,Yes,Website,Excellent,4,4,4,4,4,4,4,4,4,4,4,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Bus,Excellent Value for the Money,FREDERICK | MD,
12090832680,10/19/2020 20:04,10/19/2020 20:08,9,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,4,4,4,4,4,No,No,Business (Not commuting),Personal Automobile,Average Value for the Money,KANSAS CITY | MO,MEMPHIS | TN
12090820747,10/19/2020 19:57,10/19/2020 20:08,10,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Yes,Yes,Family/Personal Emergency,,Excellent Value for the Money,NEW BRITAIN | CT,
12090802226,10/19/2020 19:49,10/19/2020 19:54,9,10,10,No,Yes,Website,4,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,No,Vacation (Non family visit),Bus,Excellent Value for the Money,NEW YORK | NY,ATLANTIC CITY | NJ
12090801155,10/19/2020 19:49,10/19/2020 19:53,5,10,7,Yes,No,Website,3,3,3,3,3,3,3,4,4,4,3,2,No,No,Family/Personal Emergency,Personal Automobile,Good Value for the Money,HOUSTON | TX,
12090778897,10/19/2020 19:38,10/19/2020 19:52,8,1,1,Yes,Yes,Website,3,4,4,3,N/A,2,4,Very Satisfied,Very Satisfied,4,4,Very Dissatisfied,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Good Value for the Money,DALLAS | TX,
12090773975,10/19/2020 19:36,10/19/2020 19:40,8,7,7,Yes,Yes,Call Center,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,4,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,Yes,Visiting Friends or Family (Just for Fun),Bus,Excellent Value for the Money,NEWARK | NJ,
12090758313,10/19/2020 19:29,10/19/2020 19:33,2,0,0,No,Yes,Website,3,3,3,3,N/A,3,Very Poor,3,3,Very Dissatisfied,3,3,Yes,No,Business (Not commuting),Train,Average Value for the Money,SAINT LOUIS | MO,SPRINGFIELD | MO
12090754621,10/19/2020 19:27,10/19/2020 19:32,7,7,5,Yes,Yes,Website,4,4,4,4,4,4,3,4,4,4,4,4,Yes,Yes,Family/Personal Emergency,Plane,Average Value for the Money,BATON ROUGE | LA,DALLAS | TX
12090731803,10/19/2020 19:17,10/19/2020 19:27,5,5,4,Yes,Yes,Website,Very Poor,3,3,Very Dissatisfied,Very Dissatisfied,4,2,2,3,4,3,3,Yes,Yes,Visiting Friends or Family (Just for Fun),Personal Automobile,Poor Value for the Money,NEW YORK | NY,CORTLAND | NY
12090711345,10/19/2020 19:08,10/19/2020 19:13,5,7,5,Yes,Yes,Website,4,4,4,4,4,4,2,4,4,4,4,4,Yes,No,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Personal Automobile,Good Value for the Money,MINNEAPOLIS | MN,GARY | IN
12090664415,10/19/2020 18:49,10/19/2020 18:56,7,10,8,Yes,Yes,Website,4,Very Satisfied,Very Satisfied,Very Satisfied,4,Very Satisfied,3,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,No,Business (Not commuting),Personal Automobile,Good Value for the Money,CHARLOTTE | NC,
12090629739,10/19/2020 18:34,10/19/2020 18:39,10,5,10,Yes,Yes,Website,4,Very Satisfied,Very Satisfied,3,4,Very Satisfied,4,4,Very Satisfied,Very Satisfied,4,4,No,No,Visiting Friends or Family (Just for Fun),Plane,Good Value for the Money,NEW YORK | NY,FORT LAUDERDALE | FL
12090615922,10/19/2020 18:30,10/19/2020 18:40,2,0,0,Yes,Yes,Website,Very Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Poor,2,Very Dissatisfied,Very Dissatisfied,Very DIssatisfied,Very Dissatisfied,Yes,No,Family/Personal Emergency,Personal Automobile,Poor Value for the Money,NORFOLK | VA,HAGERSTOWN | MD
12090602978,10/19/2020 18:25,10/19/2020 18:31,5,2,3,Yes,No,Website,Very Poor,3,Very Dissatisfied,3,3,3,2,4,2,4,3,3,Yes,No,Family/Personal Emergency,Personal Automobile,Poor Value for the Money,CORVALLIS | OR,
12090590793,10/19/2020 18:19,10/19/2020 18:25,10,,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,4,4,4,4,4,Yes,Yes,"Specific Event or Gathering with Friends or Family (i.e. Birthday, Family Reunion, etc.)",Plane,Excellent Value for the Money,HAMMOND | IN,MINNEAPOLIS | MN
12090528422,10/19/2020 17:54,10/19/2020 18:53,8,10,10,Yes,Yes,Website,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,4,3,Yes,No,Family/Personal Emergency,Personal Automobile,Excellent Value for the Money,,
12090517450,10/19/2020 17:51,10/19/2020 17:52,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,
